iter	Logloss
0	0.6460931958
1	0.6033350488
2	0.5617032194
3	0.5267407568
4	0.4917245826
5	0.4633269602
6	0.4327927516
7	0.404117953
8	0.381041193
9	0.3609673209
10	0.3388807151
11	0.3223314495
12	0.3053708291
13	0.2913810449
14	0.2767675901
15	0.2624627537
16	0.2510875694
17	0.2405747155
18	0.2298020313
19	0.2200857509
20	0.2123231358
21	0.2051892576
22	0.1918199116
23	0.1850552005
24	0.1792933549
25	0.1738644087
26	0.1692217551
27	0.1636983331
28	0.1579188535
29	0.1530137697
30	0.1501867929
31	0.1468666194
32	0.144417164
33	0.1416073396
34	0.1381196279
35	0.1356803796
36	0.1318334453
37	0.1290448097
38	0.1264926019
39	0.1248152362
40	0.1231518722
41	0.1213796952
42	0.1198380204
43	0.1175334055
44	0.1161732374
45	0.1146467989
46	0.1131881677
47	0.1113597475
48	0.1102218614
49	0.1089516512
50	0.1071108604
51	0.106430429
52	0.1050162852
53	0.1044869152
54	0.1031471618
55	0.1024376085
56	0.1009314697
57	0.09976998598
58	0.09902144192
59	0.09856498358
60	0.09808101718
61	0.09775334081
62	0.09732184758
63	0.0967911905
64	0.09604276754
65	0.09557445718
66	0.09504860539
67	0.0942697309
68	0.09380884645
69	0.0930334373
70	0.09265337246
71	0.09215172505
72	0.09139789787
73	0.09120386401
74	0.09068098772
75	0.09028868585
76	0.09003858916
77	0.08949745125
78	0.0891294955
79	0.08891561129
80	0.08857228073
81	0.08823206228
82	0.0880515603
83	0.08770123233
84	0.08743813608
85	0.08719296295
86	0.08674880254
87	0.08626199807
88	0.08596554392
89	0.08558066448
90	0.08533468034
91	0.0850923681
92	0.08485914047
93	0.0847261855
94	0.08459624651
95	0.08429651323
96	0.0839953212
97	0.08388734935
98	0.08372448214
99	0.0835722083
100	0.08310951712
101	0.08285558158
102	0.0824743238
103	0.08236969095
104	0.08212649868
105	0.08198974852
106	0.08187994557
107	0.08168205631
108	0.0815364427
109	0.08116948353
110	0.08109203068
111	0.08086429524
112	0.08072275737
113	0.08060544615
114	0.08048159226
115	0.08020896499
116	0.08008300535
117	0.07985662527
118	0.07967941633
119	0.07960595999
120	0.0794766089
121	0.07931302318
122	0.0792140981
123	0.07900335764
124	0.07888370588
125	0.07863260605
126	0.07847261358
127	0.0783825404
128	0.07824646003
129	0.07801808305
130	0.0777988067
131	0.07762164123
132	0.07738245142
133	0.07723282344
134	0.07711188639
135	0.07686042183
136	0.07666150386
137	0.07643376747
138	0.07626234267
139	0.07606789168
140	0.07605242537
141	0.07580964142
142	0.07564877585
143	0.07554899367
144	0.07521898444
145	0.07513454047
146	0.07498783151
147	0.07489121761
148	0.07481114089
149	0.07467922789
150	0.0744319516
151	0.07427692484
152	0.07423508664
153	0.07413953878
154	0.07406357283
155	0.07400044396
156	0.07394562552
157	0.07377282442
158	0.07365937392
159	0.07358730924
160	0.07335284828
161	0.07321178649
162	0.07297040873
163	0.07285920582
164	0.0727515803
165	0.07254704665
166	0.07238442483
167	0.07224444753
168	0.07210024134
169	0.07199088686
170	0.07183942065
171	0.07167735598
172	0.07154513012
173	0.07139613789
174	0.07122970054
175	0.07110987205
176	0.07098002659
177	0.07090810959
178	0.07078614242
179	0.07070468303
180	0.07061370489
181	0.07044754955
182	0.07030512632
183	0.07018270387
184	0.07002753353
185	0.06997846037
186	0.06992716068
187	0.06979913928
188	0.06969527114
189	0.06961393548
190	0.069494901
191	0.06935312173
192	0.06926396648
193	0.06923331657
194	0.06917081347
195	0.06901962473
196	0.06889477295
197	0.06876890711
198	0.0686616477
199	0.06861063139
200	0.06860152947
201	0.06846438161
202	0.06837224259
203	0.06834247726
204	0.06828237691
205	0.06824175598
206	0.06815786483
207	0.06802494854
208	0.06790969831
209	0.06777048453
210	0.06770922151
211	0.06756878775
212	0.06744113351
213	0.06738188242
214	0.06734783791
215	0.06731511038
216	0.06720143624
217	0.06706894357
218	0.06694533894
219	0.06688216788
220	0.06681231567
221	0.06668634502
222	0.0666255554
223	0.06655376876
224	0.06643184138
225	0.06632399633
226	0.06615255197
227	0.06601867961
228	0.06592138132
229	0.06583952639
230	0.06572993106
231	0.06567094532
232	0.065583498
233	0.06550042458
234	0.06540610863
235	0.06528865748
236	0.06521008863
237	0.06510829986
238	0.06497963356
239	0.06481981452
240	0.06471723006
241	0.06465453741
242	0.06446881075
243	0.06438599125
244	0.06428528398
245	0.06415070883
246	0.06407723296
247	0.06399438813
248	0.06389055115
249	0.06387283431
250	0.063839431
251	0.06373744591
252	0.06368367309
253	0.06359874863
254	0.06349828393
255	0.06342916744
256	0.06329721763
257	0.06322498597
258	0.0631484992
259	0.0630736698
260	0.06293571586
261	0.06290262971
262	0.06275942245
263	0.06268913641
264	0.06264756619
265	0.06259860344
266	0.06247756315
267	0.06241740769
268	0.06234625236
269	0.06231531977
270	0.06226908372
271	0.06218036012
272	0.06215934024
273	0.06212286575
274	0.06205836118
275	0.06197754294
276	0.06188877027
277	0.06176370639
278	0.06163145591
279	0.06161123793
280	0.06153269149
281	0.06141176121
282	0.061322632
283	0.06129369711
284	0.06120321145
285	0.06107380303
286	0.06095914502
287	0.06088956893
288	0.06087101502
289	0.06076671742
290	0.06072976964
291	0.06065876043
292	0.06055700114
293	0.06048776678
294	0.06039639416
295	0.06032132284
296	0.06023447019
297	0.06021017558
298	0.06018813412
299	0.06014465963
300	0.06011371817
301	0.06008916994
302	0.06007339472
303	0.06000748004
304	0.05998502694
305	0.05990994765
306	0.05981351743
307	0.05977910836
308	0.05961883503
309	0.05958542329
310	0.05956021288
311	0.05949538694
312	0.05940276757
313	0.05928406456
314	0.05918742456
315	0.05915426987
316	0.05903571594
317	0.05891453729
318	0.05888417716
319	0.05883749856
320	0.05877507385
321	0.05869345996
322	0.05860922915
323	0.05859084566
324	0.05855897359
325	0.05848460368
326	0.05844331585
327	0.05839204587
328	0.05837761883
329	0.05832472195
330	0.05820983497
331	0.05810760116
332	0.05800577229
333	0.05798701488
334	0.05786637629
335	0.05781067628
336	0.05778065896
337	0.05769344514
338	0.05762900422
339	0.05749694472
340	0.05747791138
341	0.05744430393
342	0.05731966505
343	0.05731318304
344	0.0572859357
345	0.05720508677
346	0.05714901665
347	0.05712638358
348	0.05701414571
349	0.05688071343
350	0.05684551888
351	0.05683185438
352	0.05680344443
353	0.05670278148
354	0.05665115549
355	0.05663314488
356	0.05661546068
357	0.05653664035
358	0.05649132556
359	0.05640565431
360	0.05639244306
361	0.05637176542
362	0.05627235664
363	0.05623165394
364	0.05616306114
365	0.05612722116
366	0.0560085725
367	0.05598418297
368	0.05592685046
369	0.05589221544
370	0.05581212339
371	0.05570387507
372	0.05569701424
373	0.05565970178
374	0.05555212064
375	0.05554551217
376	0.0555049003
377	0.05544636647
378	0.05534395684
379	0.05522780959
380	0.05517115567
381	0.0551496176
382	0.05504725233
383	0.05502739334
384	0.05501534991
385	0.05500810963
386	0.05497635964
387	0.05496730841
388	0.0549023273
389	0.05487545825
390	0.05485909219
391	0.05478493995
392	0.05472237393
393	0.05470999149
394	0.05469941054
395	0.05466611517
396	0.05465422768
397	0.05463420156
398	0.05462368714
399	0.05459228765
400	0.05450261071
401	0.05441341589
402	0.05436971384
403	0.0542410496
404	0.05423406561
405	0.05411372011
406	0.05403220901
407	0.05402000226
408	0.05396708192
409	0.05391038662
410	0.05389243984
411	0.05387372178
412	0.05385695173
413	0.05375659149
414	0.05375097047
415	0.05369069974
416	0.05360410068
417	0.05359271942
418	0.05353063319
419	0.05347606035
420	0.05347122725
421	0.05336961783
422	0.05336345774
423	0.05335423033
424	0.05334770092
425	0.05333643383
426	0.05331645961
427	0.05328458776
428	0.05322871593
429	0.05316775315
430	0.05314945448
431	0.05312785989
432	0.05311025924
433	0.05302005244
434	0.05292654475
435	0.05292349673
436	0.05289364111
437	0.05287050832
438	0.05284628628
439	0.05274201187
440	0.0527393872
441	0.05273144792
442	0.05265415366
443	0.05260437879
444	0.05256021685
445	0.05253801968
446	0.05252507581
447	0.05248179893
448	0.05236361817
449	0.05227189382
450	0.05225672194
451	0.0521086107
452	0.05208765252
453	0.05206082908
454	0.05200685598
455	0.05198881383
456	0.05186163636
457	0.05183678326
458	0.05179027893
459	0.05178033934
460	0.05173319891
461	0.05170934077
462	0.0517026364
463	0.05161899998
464	0.05153189632
465	0.0514582879
466	0.05140812546
467	0.05133716041
468	0.05128006126
469	0.05124480216
470	0.05121993062
471	0.05119261832
472	0.05107820146
473	0.05101210966
474	0.05096283889
475	0.05091976695
476	0.05090420266
477	0.05081663507
478	0.05076010024
479	0.05075040118
480	0.05070902832
481	0.05069761742
482	0.05058643715
483	0.05049471892
484	0.05046942952
485	0.0504618776
486	0.05041400507
487	0.05040696713
488	0.05038495377
489	0.05030317617
490	0.05027699779
491	0.0502282158
492	0.05014776884
493	0.05009940208
494	0.05004697264
495	0.04993163012
496	0.04992751771
497	0.04989259913
498	0.04979546445
499	0.0497501	0.04500	0.0496502	0.04501	0.0496503	0.04502	0.0496504	0.04503	0.0495505	0.0504	0.0495506	0.04505	0.0495507	0.04506	0.0493508	0.04507	0.0493509	0.04508	0.0492510	0.04509	0.0492511	0.0510	0.04922512	0.0511	0.04913513	0.0512	0.04912514	0.0513	0.04910515	0.04807225496
516	0.04802140766
517	0.04797021094
518	0.04793109975
519	0.04792449752
520	0.04785859046
521	0.04784046743
522	0.04778718512
523	0.04775396627
524	0.04766459456
525	0.04763893911
526	0.04759380103
527	0.04757716487
528	0.04757243096
529	0.04748437818
530	0.04747887237
531	0.04741243912
532	0.04737418795
533	0.047327639
534	0.0472687824
535	0.04723560151
536	0.0471435069
537	0.04711430268
538	0.04710140646
539	0.04704171102
540	0.04703624682
541	0.046914951
542	0.04680723231
543	0.04678348366
544	0.04677926725
545	0.04668305425
546	0.04657864021
547	0.04655746932
548	0.04649752826
549	0.04643074928
550	0.04639076261
551	0.04636574078
552	0.04636110804
553	0.04634693547
554	0.04631969013
555	0.04625211724
556	0.04622342228
557	0.04618351748
558	0.04607611261
559	0.04605653009
560	0.04603088135
561	0.04596710048
562	0.04595971173
563	0.04592212941
564	0.04591051352
565	0.04580568996
566	0.04575032535
567	0.04569824575
568	0.04566254346
569	0.04563636249
570	0.04560188959
571	0.04557448359
572	0.04548761653
573	0.04546770395
574	0.04546365883
575	0.04542848377
576	0.04537830808
577	0.04529294027
578	0.04528973998
579	0.04524807199
580	0.04518812818
581	0.04514975331
582	0.0450999645
583	0.04507594736
584	0.04501144216
585	0.04497364107
586	0.04493323749
587	0.04493069277
588	0.04490943512
589	0.04488177067
590	0.04486064403
591	0.04477763501
592	0.04476119632
593	0.04474040214
594	0.04468506892
595	0.04463313116
596	0.04462947439
597	0.04457602233
598	0.04451741078
599	0.04451493995
600	0.04449785494
601	0.04448271754
602	0.04439954441
603	0.04433951515
604	0.0443351342
605	0.04427533322
606	0.04419822219
607	0.04415309676
608	0.0440762094
609	0.04407331144
610	0.04402617684
611	0.04393419851
612	0.0438654412
613	0.04379646967
614	0.04369205257
615	0.04368982898
616	0.0436137454
617	0.04358063559
618	0.04352472954
619	0.04343789464
620	0.04338093054
621	0.0433572202
622	0.04332070485
623	0.04331363759
624	0.0432789737
625	0.04322239373
626	0.04318656304
627	0.04313883647
628	0.04309301666
629	0.04308060728
630	0.04303707882
631	0.04298155215
632	0.0429298854
633	0.04285700731
634	0.04279418922
635	0.04273984821
636	0.04269769881
637	0.0425996765
638	0.04254204413
639	0.04249246954
640	0.04244001481
641	0.04239566723
642	0.04236751256
643	0.04230128867
644	0.04227949869
645	0.04221291751
646	0.04219060921
647	0.04216810949
648	0.04209013929
649	0.0420548048
650	0.04201954277
651	0.04198626868
652	0.04191492352
653	0.04186835814
654	0.04183359329
655	0.04180383882
656	0.04172925546
657	0.04168939516
658	0.04166113008
659	0.0416451215
660	0.04161992162
661	0.04157016118
662	0.04154752942
663	0.04152965067
664	0.04147908752
665	0.0414379107
666	0.04143211164
667	0.04139475628
668	0.04138159342
669	0.04128629214
670	0.04124340151
671	0.04120065255
672	0.04119592748
673	0.04119293458
674	0.04117553043
675	0.04112525356
676	0.04107952302
677	0.04106151293
678	0.04103746286
679	0.0409655846
680	0.04087927788
